Site,Length
SP. L.10.ZJ,24.3
SP. L.10.ZJ,33.4
SP. L.10.ZJ,37.7
SP. L.10.ZJ,32.5
SP. L.10.ZJ,30.1
SP.L.13.ZJ,37.8
SP.L.13.ZJ,13.7
SP.L.13.ZJ,16.3
SP.L.13.ZJ,37.1
SP.L.13.ZJ,10.2
SP.L.15.ZJ,23.5
SP.L.15.ZJ,34.6
SP.L.15.ZJ,22.8
SP.L.15.ZJ,27.6
SP.L.15.ZJ,13.4
SP.L.16.ZJ,30.1
SP.L.16.ZJ,34
SP.L.16.ZJ,30.6
SP.L.16.ZJ,33.9
SP.L.16.ZJ,29.5
SP.L.18.ZJ,36.5
SP.L.18.ZJ,29.3
SP.L.18.ZJ,36.8
SP.L.18.ZJ,40.1
SP.L.18.ZJ,34.3
SP.M.9.ZJ,43.3
SP.M.9.ZJ,40.5
SP.M.9.ZJ,50.3
SP.M.9.ZJ,34.6
SP.M.9.ZJ,25.1
SP.M.10.ZJ,26.7
SP.M.10.ZJ,29.3
SP.M.10.ZJ,19.2
SP.M.10.ZJ,28.5
SP.M.10.ZJ,25
SP.M.13.ZJ,26.1
SP.M.13.ZJ,11.6
SP.M.13.ZJ,23
SP.M.13.ZJ,21.7
SP.M.13.ZJ,29.5
SP.M.15.ZJ,19.1
SP.M.15.ZJ,15.4
SP.M.15.ZJ,25.5
SP.M.15.ZJ,21.8
SP.M.15.ZJ,35.6
SP.M.16.ZJ,58.2
SP.M.16.ZJ,23.5
SP.M.16.ZJ,33.9
SP.M.16.ZJ,26.8
SP.M.16.ZJ,19.4
SP.M.18.ZJ,17.4
SP.M.18.ZJ,22.7
SP.M.18.ZJ,19.1
SP.M.18.ZJ,31.5
SP.M.18.ZJ,32.1
SP.H.9.ZJ,28
SP.H.9.ZJ,36.3
SP.H.9.ZJ,39.2
SP.H.9.ZJ,35.1
SP.H.9.ZJ,14.6
SP.H.10.ZJ,19.4
SP.H.10.ZJ,14.3
SP.H.10.ZJ,20.6
SP.H.10.ZJ,16.1
SP.H.10.ZJ,27
SP.H.13.ZJ,20.5
SP.H.13.ZJ,17.9
SP.H.13.ZJ,26.8
SP.H.13.ZJ,27.9
SP.H.13.ZJ,16.6
SP.H.15.ZJ,29.3
SP.H.15.ZJ,30.7
SP.H.15.ZJ,16.5
SP.H.15.ZJ,34.3
SP.H.15.ZJ,24.1
SP.H.16.ZJ,16.4
SP.H.16.ZJ,21.2
SP.H.16.ZJ,30.9
SP.H.16.ZJ,25.6
SP.H.16.ZJ,15.8
SP.H.18.ZJ,6.2
SP.H.18.ZJ,42.7
SP.H.18.ZJ,28
SP.H.18.ZJ,31.3
SP.H.18.ZJ,27.9
SV.L.9.ZJ,28.3
SV.L.9.ZJ,19.7
SV.L.9.ZJ,59.8
SV.L.9.ZJ,26.7
SV.L.9.ZJ,18.2
SV.H.16.ZJ,33.3
SV.H.16.ZJ,9.7
SV.H.16.ZJ,14.7
SV.H.16.ZJ,13.6
SV.H.16.ZJ,17.9
SV.L.13.ZJ,13.3
SV.L.13.ZJ,14.2
SV.L.13.ZJ,20
SV.L.13.ZJ,26.6
SV.L.13.ZJ,13.4
SV.L.18.ZJ,33.9
SV.L.18.ZJ,39.7
SV.L.18.ZJ,29.8
SV.L.18.ZJ,25.6
SV.L.18.ZJ,25.1
SV.L.10.ZJ,32.7
SV.L.10.ZJ,27.5
SV.L.10.ZJ,23.5
SV.L.10.ZJ,31.4
SV.L.10.ZJ,45.1
SV.L.15.ZJ,32.5
SV.L.15.ZJ,28.2
SV.L.15.ZJ,22.9
SV.L.15.ZJ,13.2
SV.L.15.ZJ,16.3
SV.L.8.ZJ,39.2
SV.L.8.ZJ,45.7
SV.L.8.ZJ,38.3
SV.L.8.ZJ,40.6
SV.L.8.ZJ,34.7
SV.H.9.ZJ,29.6
SV.H.9.ZJ,21.1
SV.H.9.ZJ,29.3
SV.H.9.ZJ,16.8
SV.H.9.ZJ,35.5
SV.H.8.ZJ,19.3
SV.H.8.ZJ,27.6
SV.H.8.ZJ,16.2
SV.H.8.ZJ,16.4
SV.H.8.ZJ,22.3
SV.H.15.ZJ,12.3
SV.H.15.ZJ,28.5
SV.H.15.ZJ,11.2
SV.H.15.ZJ,7.2
SV.H.15.ZJ,9.6
SV.H.16.ZJ,19.4
SV.H.16.ZJ,8.1
SV.H.16.ZJ,7.3
SV.H.16.ZJ,9.5
SV.H.16.ZJ,25.6
SV.H.10.ZJ,19.4
SV.H.10.ZJ,21.3
SV.H.10.ZJ,33.4
SV.H.10.ZJ,30.6
SV.H.10.ZJ,22.5
SV.H.3.ZJ,8.3
SV.H.3.ZJ,11.2
SV.H.3.ZJ,11.6
SV.H.3.ZJ,11.2
SV.H.3.ZJ,11.9
SV.H.2.ZJ,17.1
SV.H.2.ZJ,19.4
SV.H.2.ZJ,19.1
SV.H.2.ZJ,27.2
SV.H.2.ZJ,11.4
SV.H.4.ZJ,10.9
SV.H.4.ZJ,17.6
SV.H.4.ZJ,14.6
SV.H.4.ZJ,11.4
SV.H.4.ZJ,12.7
SV.H.7.ZJ,26.1
SV.H.7.ZJ,28.1
SV.H.7.ZJ,28.3
SV.H.7.ZJ,23.5
SV.H.7.ZJ,26.7
SV.H.1.ZJ,39.5
SV.H.1.ZJ,25.4
SV.H.1.ZJ,33.3
SV.H.1.ZJ,28.3
SV.H.1.ZJ,27.2
SV.L.3.ZJ,33.6
SV.L.3.ZJ,29.3
SV.L.3.ZJ,29.7
SV.L.3.ZJ,26.8
SV.L.3.ZJ,27.2
SV.L.2.ZJ,21.3
SV.L.2.ZJ,29.6
SV.L.2.ZJ,19.2
SV.L.2.ZJ,29.7
SV.L.2.ZJ,12.6
SV.L.4.ZJ,21.5
SV.L.4.ZJ,53.1
SV.L.4.ZJ,39.2
SV.L.4.ZJ,40.1
SV.L.4.ZJ,47.8
SV.L.7.ZJ,25.8
SV.L.7.ZJ,39.6
SV.L.7.ZJ,35.4
SV.L.7.ZJ,19.4
SV.L.7.ZJ,11.6
SV.L.13.ZJ,10.3
SV.L.13.ZJ,23.7
SV.L.13.ZJ,13.4
SV.L.13.ZJ,13.6
SV.L.13.ZJ,17.7
SP.H.1.ZJ,22.8
SP.H.1.ZJ,9.7
SP.H.1.ZJ,14.6
SP.H.1.ZJ,22.4
SP.H.1.ZJ,25.3
SP.H.2.ZJ,17.3
SP.H.2.ZJ,16.7
SP.H.2.ZJ,27.4
SP.H.2.ZJ,19.8
SP.H.2.ZJ,14.5
SP.H.3.ZJ,24.5
SP.H.3.ZJ,9.1
SP.H.3.ZJ,18.8
SP.H.3.ZJ,10.2
SP.H.3.ZJ,24.1
SP.H.4.ZJ,24.5
SP.H.4.ZJ,9.1
SP.H.4.ZJ,18.8
SP.H.4.ZJ,10.2
SP.H.4.ZJ,24.1
SP.H.7.ZJ,13.4
SP.H.7.ZJ,20.7
SP.H.7.ZJ,21
SP.H.7.ZJ,15.4
SP.H.7.ZJ,27
SP.H.8.ZJ,15.7
SP.H.8.ZJ,9.8
SP.H.8.ZJ,6
SP.H.8.ZJ,9.7
SP.H.8.ZJ,16.4
SP.M.1.ZJ,28.6
SP.M.1.ZJ,23.8
SP.M.1.ZJ,23.8
SP.M.1.ZJ,29.5
SP.M.1.ZJ,18
SP.M.2.ZJ,19.2
SP.M.2.ZJ,14.1
SP.M.2.ZJ,22.8
SP.M.2.ZJ,27.2
SP.M.2.ZJ,15.7
SP.M.3.ZJ,40
SP.M.3.ZJ,27.3
SP.M.3.ZJ,13.4
SP.M.3.ZJ,32
SP.M.3.ZJ,46.8
SP.M.4.ZJ,51.4
SP.M.4.ZJ,42.2
SP.M.4.ZJ,41
SP.M.4.ZJ,27.9
SP.M.4.ZJ,17.3
SP.M.7.ZJ,26.9
SP.M.7.ZJ,20
SP.M.7.ZJ,35.3
SP.M.7.ZJ,33.8
SP.M.7.ZJ,9.8
SP.M.8.ZJ,14.5
SP.M.8.ZJ,23.5
SP.M.8.ZJ,22.7
SP.M.8.ZJ,51
SP.M.8.ZJ,15.6
SP.L.1.ZJ,20.7
SP.L.1.ZJ,22.5
SP.L.1.ZJ,43
SP.L.1.ZJ,22.2
SP.L.1.ZJ,41
SP.L.2.ZJ,48.8
SP.L.2.ZJ,19.9
SP.L.2.ZJ,20
SP.L.2.ZJ,36
SP.L.2.ZJ,19.4
SP.L.3.ZJ,42
SP.L.3.ZJ,39.4
SP.L.3.ZJ,28.9
SP.L.3.ZJ,36.5
SP.L.3.ZJ,28.5
SP.L.4.ZJ,12.2
SP.L.4.ZJ,17.2
SP.L.4.ZJ,10.8
SP.L.4.ZJ,18.3
SP.L.4.ZJ,7.1
SP.L.7.ZJ,21.9
SP.L.7.ZJ,19.8
SP.L.7.ZJ,34
SP.L.7.ZJ,26.8
SP.L.7.ZJ,22
SP.L.8.ZJ,29.5
SP.L.8.ZJ,41.5
SP.L.8.ZJ,26
SP.L.8.ZJ,30.5
SP.L.8.ZJ,19.4
SP.L.9.ZJ,30.6
SP.L.9.ZJ,42.3
SP.L.9.ZJ,17
SP.L.9.ZJ,39
SP.L.9.ZJ,26.1
SP.L.11.ZM,113.2
SP.L.12.ZM,73.7
SP.L.13.ZM,95.6
SP.L.14.ZM,105.4
SP.L.16.ZM,93.2
SP.L.17.ZM,109.7
SP.M.9.ZM,51.1
SP.M.11.ZM,78
SP.M.12.ZM,94.3
SP.M.13.ZM,87.6
SP.M.14.ZM,95.5
SP.M.16.ZM,72.7
SP.M.17.ZM,73.6
SP.M.9.ZM,52.8
SP.H.11.ZM,54.2
SP.H.12.ZM,80.3
SP.H.13.ZM,73.9
SP.H.14.ZM,60
SP.H.16.ZM,67.2
SP.H.17.ZM,60.1
SV.L.11.ZM,104.8
SV.L.17.ZM,105.9
SV.L.16.ZM,126
SV.L.14.ZM,98.6
SV.L.9.ZM,81.3
SV.L.12.ZM,128.7
SV.M.4.ZM,77.1
SV.M.16.ZM,86.9
SV.M.14.ZM,97.5
SV.M.1.ZM,75.5
SV.M.11.ZM,1335
SV.M.17.ZM,120.3
SV.M.5.ZM,79.3
SV.M.13.ZM,110.7
SV.M.8.ZM,69.7
SV.M.6.ZM,94.8
SV.M.9.ZM,109.5
SP.H.1.ZM,59.8
SP.H.4.ZM,70
SP.H.5.ZM,87.2
SP.H.6.ZM,40.3
SP.H.8.ZM,71.6
SP.M.1.ZM,64.2
SP.M.4.ZM,98
SP.M.5.ZM,93.2
SP.M.6.ZM,97.2
SP.M.8.ZM,53.5
SP.L.1.ZM,89.3
SP.L.4.ZM,142
SP.L.5.ZM,98
SP.L.6.ZM,113.1
SP.L.8.ZM,89
SP.L.9.ZM,71.3
SV.H.4.ZM,28.7
SV.H.6.ZM,27.2
SV.H.8.ZM,14.8
SV.H.1.ZM,44.3
SV.H.5.ZM,15.3
SV.L.6.ZM,163.7
SV.L.4.ZM,87.1
SV.L.5.ZM,99
SV.L.1.ZM,75.8
SV.L.8.ZM,82.7
SV.H.14.ZM,35.4
SV.H.12.ZM,32.8
SV.H.11.ZM,31.7
SV.H.16.ZM,43.2
SV.H.11.ZM,27.8
SV.H.9.ZM,24.1
SV.H.13.ZM,35.7