Site,Condition,biomass,epifauna.eelgrass,epiphyte.eelgrass,total.biomass
SP.H.1.ZJ,mixture,15.2,0.04,0.09,15.33
SP.H.1.ZM,mixture,10.55,0.29,0.26,11.1
SP.H.10.ZJ,monoculture,36.62,0.04,0.07,36.73
SP.H.11.ZM,monoculture,8.16,0.75,0.27,9.18
SP.H.12.ZM,monoculture,8.88,0.34,0.84,10.06
SP.H.13.ZJ,mixture,2.35,0.17,0.08,2.6
SP.H.13.ZM,mixture,8.98,0.3,0.38,9.66
SP.H.14.ZM,monoculture,10.88,0.69,0.55,12.12
SP.H.15.ZJ,monoculture,21.96,0.34,0.15,22.45
SP.H.16.ZJ,mixture,7.61,0.28,0.13,8.02
SP.H.16.ZM,mixture,2.55,0.43,0.41,3.39
SP.H.17.ZM,monoculture,8.53,0.54,0.41,9.48
SP.H.18.ZJ,monoculture,45.29,0.21,0.13,45.63
SP.H.2.ZJ,monoculture,30.96,0.1,0.1,31.16
SP.H.3.ZJ,monoculture,27.52,0.13,0.11,27.76
SP.H.4.ZJ,mixture,2.95,0.06,0.08,3.09
SP.H.4.ZM,mixture,10.17,0.56,0.3,11.03
SP.H.5.ZM,monoculture,7.6,0.59,0.62,8.81
SP.H.6.ZM,monoculture,10.38,0.79,0.13,11.3
SP.H.7.ZJ,monoculture,21.19,0.08,0.11,21.38
SP.H.8.ZJ,mixture,4.36,0.09,0.06,4.51
SP.H.8.ZM,mixture,5.39,0.38,0.41,6.18
SP.H.9.ZJ,mixture,11.11,0.12,0.15,11.38
SP.H.9.ZM,mixture,9,0.35,0.24,9.59
SP.L.1.ZJ,mixture,0.32,0.03,0.19,0.54
SP.L.1.ZM,mixture,4.59,0.33,0.66,5.58
SP.L.10.ZJ,monoculture,1.21,0.03,0.13,1.37
SP.L.11.ZM,monoculture,12.37,1.15,1.01,14.53
SP.L.12.ZM,monoculture,18.55,0.76,0.36,19.67
SP.L.13.ZJ,mixture,0.41,0.05,0.14,0.6
SP.L.13.ZM,mixture,19.61,0.19,0.74,20.54
SP.L.14.ZM,monoculture,17.71,0.66,0.92,19.29
SP.L.15.ZJ,monoculture,0.84,0.07,0.1,1.01
SP.L.16.ZJ,mixture,0.94,0.01,0.08,1.03
SP.L.16.ZM,mixture,8.39,0.33,0.87,9.59
SP.L.17.ZM,monoculture,28.05,1.05,0.72,29.82
SP.L.18.ZJ,monoculture,6.56,0.07,0.16,6.79
SP.L.2.ZJ,monoculture,2.32,0.11,0.06,2.49
SP.L.3.ZJ,monoculture,4.65,0.08,0.18,4.91
SP.L.4.ZJ,mixture,0.07,0.02,0.05,0.14
SP.L.4.ZM,mixture,20.67,0.27,1.14,22.08
SP.L.5.ZM,monoculture,0.25,0.48,0.82,1.55
SP.L.6.ZM,monoculture,17.52,0.77,0.7,18.99
SP.L.7.ZJ,monoculture,0.73,0.01,0.14,0.88
SP.L.8.ZJ,mixture,0.01,0.06,0.19,0.26
SP.L.8.ZM,mixture,16.45,1.29,0.79,18.53
SP.L.9.ZJ,mixture,0.02,0.05,0.12,0.19
SP.L.9.ZM,mixture,10.97,0.45,0.44,11.86
SP.M.1.ZJ,mixture,5.59,0.06,0.08,5.73
SP.M.1.ZM,mixture,2.89,0.65,0.29,3.83
SP.M.10.ZJ,monoculture,30.2,0.04,0.11,30.35
SP.M.11.ZM,monoculture,11.21,0.89,0.53,12.63
SP.M.12.ZM,monoculture,17,0.67,0.65,18.32
SP.M.13.ZJ,mixture,1.72,0.03,0.07,1.82
SP.M.13.ZM,mixture,9.96,1.23,0.59,11.78
SP.M.14.ZM,monoculture,15.73,0.65,0.86,17.24
SP.M.15.ZJ,monoculture,7.89,0.15,0.09,8.13
SP.M.16.ZJ,mixture,4.17,0.12,0.13,4.42
SP.M.16.ZM,mixture,11.1,0.62,0.42,12.14
SP.M.17.ZM,monoculture,15.15,0.72,0.33,16.2
SP.M.18.ZJ,monoculture,20,0.34,0.09,20.43
SP.M.2.ZJ,monoculture,6.26,0.08,0.07,6.41
SP.M.3.ZJ,monoculture,11.08,0.04,0.19,11.31
SP.M.4.ZJ,mixture,5.79,0.03,0.21,6.03
SP.M.4.ZM,mixture,16.22,0.51,0.74,17.47
SP.M.5.ZM,monoculture,11.25,0.61,0.72,12.58
SP.M.6.ZM,monoculture,19.39,0.22,0.79,20.4
SP.M.7.ZJ,monoculture,27.75,0.1,0.15,28
SP.M.8.ZJ,mixture,3.45,0.03,0.08,3.56
SP.M.8.ZM,mixture,14.92,0.41,0.28,15.61
SP.M.9.ZJ,mixture,12.81,0.12,0.2,13.13
SP.M.9.ZM,mixture,3.74,0.69,0.23,4.66
SV.H.1.ZJ,mixture,6.12,0.1,0.11,6.33
SV.H.1.ZM,mixture,3.99,0.24,0.42,4.65
SV.H.10.ZJ,monoculture,41.53,0.21,0.13,41.87
SV.H.11.ZM,monoculture,5.49,0.28,0.06,5.83
SV.H.12.ZM,monoculture,2.3,0.22,0.11,2.63
SV.H.13.ZJ,mixture,10.32,0.05,0.08,10.45
SV.H.13.ZM,mixture,1.97,0.08,0.11,2.16
SV.H.14.ZM,monoculture,2.17,0.25,0.6,3.02
SV.H.15.ZJ,monoculture,28.33,0.07,0.07,28.47
SV.H.16.ZJ,mixture,12.34,0.02,0.06,12.42
SV.H.16.ZM,mixture,1.83,0.35,0.2,2.38
SV.H.17.ZM,monoculture,1.56,0.15,0.04,1.75
SV.H.18.ZJ,monoculture,34.56,0.23,0.1,34.89
SV.H.2.ZJ,monoculture,6.44,0.11,0.1,6.65
SV.H.3.ZJ,monoculture,14.7,0.06,0.07,14.83
SV.H.4.ZJ,mixture,1,0.01,0.04,1.05
SV.H.4.ZM,mixture,0.83,0.08,0.08,0.99
SV.H.5.ZM,monoculture,0.68,0.03,0.29,1
SV.H.6.ZM,monoculture,0.67,0.07,0.06,0.8
SV.H.7.ZJ,monoculture,16.78,0.09,0.13,17
SV.H.8.ZJ,mixture,47.53,0.23,0.14,47.9
SV.H.8.ZM,mixture,0.14,0.12,0.1,0.36
SV.H.9.ZJ,mixture,40.66,0.34,0.16,41.16
SV.H.9.ZM,mixture,0.18,0.11,0.06,0.35
SV.L.1.ZJ,mixture,3.58,0.17,0.13,3.88
SV.L.1.ZM,mixture,20.59,0.68,1.63,22.9
SV.L.10.ZJ,monoculture,12.65,0.31,0.11,13.07
SV.L.11.ZM,monoculture,27.98,0.42,0.52,28.92
SV.L.12.ZM,monoculture,24.42,0.78,1.69,26.89
SV.L.13.ZJ,mixture,0,0.01,0.08,0.09
SV.L.13.ZM,mixture,40.03,0.91,0.52,41.46
SV.L.14.ZM,monoculture,42.06,1.05,0.08,43.19
SV.L.15.ZJ,monoculture,17.15,0.01,0.1,17.26
SV.L.16.ZJ,mixture,0,0.02,0.05,0.07
SV.L.16.ZM,mixture,20.94,1.05,0.56,22.55
SV.L.17.ZM,monoculture,25.51,1.83,0.54,27.88
SV.L.18.ZJ,monoculture,12.65,0.08,0.09,12.82
SV.L.2.ZJ,monoculture,13.33,0.16,0.08,13.57
SV.L.3.ZJ,monoculture,16.34,0.01,0.07,16.42
SV.L.4.ZJ,mixture,1.23,0.12,0.14,1.49
SV.L.4.ZM,mixture,16.71,0.68,1.12,18.51
SV.L.5.ZM,monoculture,32.71,1.04,0.52,34.27
SV.L.6.ZM,monoculture,34.36,0.87,0.48,35.71
SV.L.7.ZJ,monoculture,4.48,0.14,0.09,4.71
SV.L.8.ZJ,mixture,2.94,0.12,0.23,3.29
SV.L.8.ZM,mixture,21.2,0.43,0.55,22.18
SV.L.9.ZJ,mixture,0,0.05,0.13,0.18
SV.L.9.ZM,mixture,32.77,0.45,0.75,33.97
SV.M.1.ZJ,mixture,4.63,0.15,0.12,4.9
SV.M.1.ZM,mixture,20.86,0.53,0.47,21.86
SV.M.10.ZJ,monoculture,2.37,0.12,0.08,2.57
SV.M.11.ZM,monoculture,30.72,0.95,1.23,32.9
SV.M.12.ZM,monoculture,15.95,0.23,0.82,17
SV.M.13.ZJ,mixture,0.42,0.11,0.13,0.66
SV.M.13.ZM,mixture,22.04,0.84,0.68,23.56
SV.M.14.ZM,monoculture,28.87,1.32,1.28,31.47
SV.M.15.ZJ,monoculture,2.71,0.1,0.06,2.87
SV.M.16.ZJ,mixture,0.06,0.02,0.12,0.2
SV.M.16.ZM,mixture,19.83,0.61,0.66,21.1
SV.M.17.ZM,monoculture,22.29,1.1,1.26,24.65
SV.M.18.ZJ,monoculture,2.68,0.08,0.08,2.84
SV.M.2.ZJ,monoculture,15.75,0.09,0.07,15.91
SV.M.3.ZJ,monoculture,8.98,0.07,0.11,9.16
SV.M.4.ZJ,mixture,3.58,0.13,0.07,3.78
SV.M.4.ZM,mixture,18.31,0.56,0.6,19.47
SV.M.5.ZM,monoculture,10.59,0.68,0.37,11.64
SV.M.6.ZM,monoculture,16.73,0.29,0.79,17.81
SV.M.7.ZJ,monoculture,4.57,0.13,0.09,4.79
SV.M.8.ZJ,mixture,2.67,0.04,0.1,2.81
SV.M.8.ZM,mixture,16.6,0.85,0.52,17.97
SV.M.9.ZJ,mixture,2.11,0.12,0.09,2.32
SV.M.9.ZM,mixture,17.8,0.33,0.72,18.85
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,