Site,Condition,Lacuna.spp,Tanaidacea ,Syllidae/Hesionidae,Monocorophium.spp.,Paracorophium.spp.,Ampithoe.valida,Caprella.californica,Juvenile.caprellid,Caprella.spp.,Photis.spp.,Amphipod,Idotea.rufescens,Mytilus,Hirudinea,Didumene.triliniata,Cumacea,Calliopioidea,Amphibalanus.improvisus,Insect.larvae,Grandidierella.japonica,Polynoidae,Tubellaria,Allochestes.spp.,Barnacle,Nereidae,Aoridae,Mollusc.egg.case,Ampithoe.lacertosa,Crepidula.spp.,Anisogammarus.pugettensis,Polychate,Anenome,Spionidae,Z.Weight,Crustacean 
SP.H.1.ZJ,Mix,0,1,1,5,2,25,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.972222222
SP.H.1.ZM,Mix,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,1
SP.H.10.ZJ,Mono,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.04,1
SP.H.11.ZM,Mono,0,0,0,1,0,21,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.964285714
SP.H.12.ZM,Mono,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,1
SP.H.13.ZJ,Mix,0,0,0,3,0,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,1
SP.H.13.ZM,Mix,0,0,0,0,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1
SP.H.14.ZM,Mono,0,0,0,3,0,34,2,4,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.69,0.914893617
SP.H.15.ZJ,Mono,0,0,1,21,0,82,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0.981308411
SP.H.16.ZJ,Mix,0,0,0,27,4,86,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.28,0.983471074
SP.H.16.ZM,Mix,1,0,0,6,0,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0.976190476
SP.H.17.ZM,Mono,0,0,2,3,0,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0.961538462
SP.H.18.ZJ,Mono,1,0,2,10,0,25,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.902439024
SP.H.2.ZJ,Mono,0,0,0,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1
SP.H.3.ZJ,Mono,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,1
SP.H.4.ZJ,Mix,0,0,0,0,0,4,0,2,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,1
SP.H.4.ZM,Mix,0,0,0,1,3,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1
SP.H.5.ZM,Mono,0,0,0,1,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,1
SP.H.6.ZM,Mono,0,0,0,0,0,55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,1
SP.H.7.ZJ,Mono,0,0,0,1,1,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,1
SP.H.8.ZJ,Mix,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,1
SP.H.8.ZM,Mix,0,1,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,1
SP.H.9.ZJ,Mix,1,0,1,9,0,74,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.966292135
SP.H.9.ZM,Mix,0,0,1,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.944444444
SP.L.1.ZJ,Mix,0,1,1,6,1,3,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.941176471
SP.L.1.ZM,Mix,0,1,0,6,0,19,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.33,1
SP.L.10.ZJ,Mono,0,0,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.03,0.833333333
SP.L.11.ZM,Mono,0,3,2,24,2,33,2,5,0,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1.15,0.9
SP.L.12.ZM,Mono,0,3,2,10,0,18,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.76,0.897435897
SP.L.13.ZJ,Mix,0,0,2,13,14,8,7,13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.966101695
SP.L.13.ZM,Mix,0,0,1,9,0,8,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.66,0.913043478
SP.L.14.ZJ,Mono,0,1,1,7,0,12,7,11,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.930232558
SP.L.15.ZM,Mono,0,0,2,4,0,10,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.942857143
SP.L.16.ZJ,Mix,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,1
SP.L.16.ZM,Mix,0,1,1,4,0,7,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0.958333333
SP.L.17.ZM,Mono,1,0,3,16,1,30,4,25,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.926829268
SP.L.18.ZJ,Mono,0,0,0,5,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,1
SP.L.2.ZJ,Mono,0,1,0,8,0,5,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.944444444
SP.L.3.ZJ,Mono,0,0,4,10,4,8,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.02,0.8125
SP.L.4.ZJ,Mix,0,0,1,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.9
SP.L.4.ZM,Mix,0,1,0,7,0,11,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0.913043478
SP.L.5.ZM,Mono,0,2,1,14,7,13,3,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.888888889
SP.L.6.ZM,Mono,1,4,4,24,6,23,5,8,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0.01,0.891566265
SP.L.7.ZJ,Mono,0,1,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,1
SP.L.8.ZJ,Mix,1,0,1,9,3,4,5,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0.925925926
SP.L.8.ZM,Mix,0,5,1,21,9,29,2,3,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.945945946
SP.L.9.ZJ,Mix,0,0,0,3,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0.9
SP.L.9.ZM,Mix,1,1,2,15,1,12,4,9,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.895833333
SP.M.1.ZJ,Mix,0,1,1,8,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.96969697
SP.M.1.ZM,Mix,0,1,0,4,0,50,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.967213115
SP.M.10.ZJ,Mono,0,0,2,5,1,14,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0.89,0.806451613
SP.M.11.ZM,Mono,0,0,1,8,0,77,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.67,0.979381443
SP.M.12.ZM,Mono,0,0,0,8,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,1
SP.M.13.ZJ,Mix,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.23,0.888888889
SP.M.13.ZM,Mix,0,0,2,35,0,77,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.65,0.975
SP.M.14.ZM,Mono,1,6,5,45,12,83,7,33,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.953846154
SP.M.15.ZJ,Mono,0,1,2,21,5,24,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.964285714
SP.M.16.ZJ,Mix,0,0,0,3,0,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,1
SP.M.16.ZM,Mix,0,1,1,3,1,40,3,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0.945454545
SP.M.17.ZM,Mono,0,3,1,13,11,65,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0.98989899
SP.M.18.ZJ,Mono,1,0,3,17,4,57,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.08,0.9375
SP.M.2.ZJ,Mono,0,0,0,2,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.04,0.952380952
SP.M.3.ZJ,Mono,0,1,0,2,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.03,0.944444444
SP.M.4.ZJ,Mix,0,0,0,11,5,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,1
SP.M.4.ZM,Mix,0,0,0,13,0,26,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,1
SP.M.5.ZM,Mono,0,0,0,23,1,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0.22,1
SP.M.6.ZM,Mono,0,0,2,6,0,30,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.930232558
SP.M.7.ZJ,Mono,0,0,0,8,6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,1
SP.M.8.ZJ,Mix,1,1,1,0,2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.833333333
SP.M.8.ZM,Mix,2,0,1,1,0,13,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.8
SP.M.9.ZJ,Mix,0,0,0,3,0,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,1
SP.M.9.ZM,Mix,0,2,1,17,0,34,3,6,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.970149254
SV.H.1.ZJ,Mix,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,1
SV.H.1.ZM,Mix,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,1
SV.H.10.ZJ,Mono,0,0,0,13,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.28,0.96969697
SV.H.11.ZM,Mono,0,0,0,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,1
SV.H.13.ZJ,Mix,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1
SV.H.13.ZM,Mix,0,0,0,2,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,1
SV.H.14.ZM,Mono,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1
SV.H.15.ZJ,Mono,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,1
SV.H.16.ZJ,Mix,0,0,0,3,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,1
SV.H.16.ZM,Mix,0,0,1,6,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.975
SV.H.17.ZM,Mono,0,0,0,4,7,7,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.15,0.909090909
SV.H.18.ZJ,Mono,0,0,0,10,0,18,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.875
SV.H.2.ZJ,Mono,0,0,0,0,2,22,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.961538462
SV.H.3.ZJ,Mono,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.9
SV.H.4.ZJ,Mix,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,1
SV.H.4.ZM,Mix,0,0,0,2,0,17,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.909090909
SV.H.5.ZM,Mono,0,0,1,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.9
SV.H.6.ZM,Mono,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.714285714
SV.H.7.ZJ,Mono,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,1
SV.H.8.ZJ,Mix,0,0,0,5,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,1
SV.H.8.ZM,Mix,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.85
SV.H.9.ZJ,Mix,0,0,0,68,0,88,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0.969325153
SV.H.9.ZM,Mix,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.11,0.923076923
SV.L.1.ZJ,Mix,2,0,1,0,0,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.727272727
SV.L.1.ZM,Mix,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,1
SV.L.10.ZJ,Mono,1,0,0,0,0,0,9,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0.31,0.607142857
SV.L.11.ZM,Mono,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,1
SV.L.13.ZJ,Mix,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0.857142857
SV.L.12.ZM,Mono,0,0,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.428571429
SV.L.13.ZM,Mix,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0.428571429
SV.L.14.ZM,Mono,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1.05,0.333333333
SV.L.15.ZJ,Mono,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.666666667
SV.L.16.ZJ,Mix,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0
SV.L.16.ZM,Mix,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1.05,0.625
SV.L.17.ZM,Mono,1,0,1,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83,0.75
SV.L.18.ZJ,Mono,1,0,0,4,0,0,7,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.08,0.882352941
SV.L.2.ZJ,Mono,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.16,0.8
SV.L.3.ZJ,Mono,0,1,2,1,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.833333333
SV.L.4.ZJ,Mix,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.12,0.571428571
SV.L.4.ZM,Mix,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0
SV.L.5.ZM,Mono,0,0,3,1,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0.444444444
SV.L.6.ZM,Mono,0,0,0,0,0,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,1
SV.L.7.ZJ,Mono,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0.14,0.818181818
SV.L.8.ZJ,Mix,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,1
SV.L.8.ZM,Mix,2,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0.571428571
SV.L.9.ZJ,Mix,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.666666667
SV.L.9.ZM,Mix,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.45,0.666666667
SV.M.1.ZJ,Mix,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.6
SV.M.1.ZM,Mix,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0.6
SV.M.10.ZJ,Mono,2,0,0,1,1,15,4,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.909090909
SV.M.11.ZM,Mono,0,0,0,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,1
SV.M.12.ZM,Mono,2,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.75
SV.M.13.ZJ,Mix,0,0,0,3,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,1
SV.M.13.ZM,Mix,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.84,0.666666667
SV.M.14.ZM,Mono,0,0,2,2,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32,0.636363636
SV.M.15.ZJ,Mono,0,0,0,0,0,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1
SV.M.16.ZJ,Mix,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,1
SV.M.16.ZM,Mix,0,0,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.61,0.777777778
SV.M.17.ZM,Mono,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1
SV.M.18.ZJ,Mono,2,0,0,9,1,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.08,0.9
SV.M.2.ZJ,Mono,0,0,1,1,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.909090909
SV.M.3.ZJ,Mono,0,1,0,2,0,9,6,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.954545455
SV.M.4.ZJ,Mix,0,0,0,3,3,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,1
SV.M.4.ZM,Mix,0,0,1,3,0,6,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.875
SV.M.5.ZM,Mono,0,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,1
SV.M.6.ZM,Mono,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.29,0.8
SV.M.7.ZJ,Mono,0,0,0,1,0,13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.9375
SV.M.8.ZJ,Mix,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,1
SV.M.8.ZM,Mix,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.5
SV.M.9.ZJ,Mix,0,0,0,1,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.12,0.857142857
SV.M.9.ZM,Mix,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,1