Site,Zone,Species,Mean.Mono,Sd.Mono,Mean.Mix,Sd.Mix,Competitor.Mass,Competitor.se
SP,H,ZJ,30.59,9.217913,7.263333,5.0809986,7.773333,1.2829411
SP,H,ZM,9.071667,1.2890992,7.773333,3.142551,7.263333,2.074309
SP,M,ZJ,17.196667,10.3146162,5.588333,3.8403459,9.805,2.2628739
SP,M,ZM,14.955,3.2323969,9.805,5.5428864,5.588333,1.5678147
SP,L,ZJ,2.718333,2.3834883,0.295,0.3570294,13.446667,2.6415118
SP,L,ZM,15.741667,9.1408805,13.446667,6.470356,0.295,0.1457566
SV,H,ZJ,23.723333,13.2971887,19.661667,19.4426443,1.49,0.5935823
SV,H,ZM,2.145,1.7820073,1.49,1.4539739,19.661667,7.9374263
SV,M,ZJ,6.176667,5.3070507,2.245,1.7761841,19.24,0.8310756
SV,M,ZM,20.858333,7.8748014,19.24,2.0357112,5.307051,0.7251241
SV,L,ZJ,12.766667,4.4943461,1.291667,1.6101232,31.173333,3.6721172
SV,L,ZM,31.173333,6.6168563,25.373333,8.9948133,12.766667,0.65733